Sensor,Power_dBm,Time,Battery_%,Voltage_mV
Sensor 1,4,00:56:31,100,4147
Sensor 1,4,01:01:33,100,4151
Sensor 1,4,01:06:35,100,4147
Sensor 1,4,01:11:37,100,4142
Sensor 1,4,01:16:39,100,4138
Sensor 1,4,01:21:41,100,4138
Sensor 1,4,01:26:43,100,4131
Sensor 1,4,01:31:45,100,4134
Sensor 1,4,01:36:47,100,4131
Sensor 1,4,01:41:49,100,4130
Sensor 1,4,01:46:51,100,4124
Sensor 1,4,01:51:53,100,4128
Sensor 1,4,01:56:55,100,4124
Sensor 1,4,02:01:57,99,4121
Sensor 1,4,02:06:59,100,4127
Sensor 1,4,02:12:01,99,4117
Sensor 1,4,02:17:03,98,4113
Sensor 1,4,02:22:05,97,4109
Sensor 1,4,02:27:07,97,4109
Sensor 1,4,02:32:09,97,4109
Sensor 1,4,02:37:11,98,4112
Sensor 1,4,02:42:13,98,4112
Sensor 1,4,02:47:15,96,4098
Sensor 1,4,02:52:17,97,4106
Sensor 1,4,02:57:19,97,4106
Sensor 1,4,03:02:21,96,4102
Sensor 1,4,03:07:23,95,4095
Sensor 1,4,03:12:25,96,4100
Sensor 1,4,03:17:27,95,4093
Sensor 1,4,03:22:29,94,4089
Sensor 1,4,03:27:31,94,4085
Sensor 1,4,03:32:33,94,4088
Sensor 1,4,03:37:35,95,4096
Sensor 1,4,03:42:37,95,4093
Sensor 1,4,03:47:39,94,4085
Sensor 1,4,03:52:41,94,4086
Sensor 1,4,03:57:43,93,4082
Sensor 1,4,04:02:45,92,4072
Sensor 1,4,04:07:47,94,4084
Sensor 1,4,04:12:49,93,4079
Sensor 1,4,04:17:51,93,4078
Sensor 1,4,04:22:53,92,4074
Sensor 1,4,04:27:55,92,4074
Sensor 1,4,04:32:57,93,4082
Sensor 1,4,04:37:59,92,4072
Sensor 1,4,04:43:01,92,4074
Sensor 1,4,04:48:03,92,4071
Sensor 1,4,04:53:05,92,4074
Sensor 1,4,04:58:07,91,4064
Sensor 1,4,05:03:09,90,4062
Sensor 1,4,05:08:11,91,4064
Sensor 1,4,05:13:13,91,4064
Sensor 1,4,05:18:15,91,4067
Sensor 1,4,05:23:17,91,4068
Sensor 1,4,05:28:19,90,4057
Sensor 1,4,05:33:21,90,4057
Sensor 1,4,05:38:23,89,4051
Sensor 1,4,05:43:25,88,4047
Sensor 1,4,05:48:27,89,4051
Sensor 1,4,05:53:29,89,4050
Sensor 1,4,05:58:31,89,4051
Sensor 1,4,06:03:33,89,4055
Sensor 1,4,06:08:35,89,4050
Sensor 1,4,06:13:37,87,4041
Sensor 1,4,06:18:39,88,4047
Sensor 1,4,06:23:41,87,4040
Sensor 1,4,06:28:43,87,4040
Sensor 1,4,06:33:45,87,4037
Sensor 1,4,06:38:47,87,4040
Sensor 1,4,06:43:49,87,4039
Sensor 1,4,06:48:51,88,4043
Sensor 1,4,06:53:53,86,4032
Sensor 1,4,06:58:55,86,4030
Sensor 1,4,07:03:57,86,4033
Sensor 1,4,07:08:59,86,4032
Sensor 1,4,07:14:01,87,4036
Sensor 1,4,07:19:03,86,4029
Sensor 1,4,07:24:05,85,4027
Sensor 1,4,07:29:07,86,4032
Sensor 1,4,07:34:09,85,4027
Sensor 1,4,07:39:11,84,4020
Sensor 1,4,07:44:13,84,4018
Sensor 1,4,07:49:15,85,4025
Sensor 1,4,07:54:17,85,4025
Sensor 1,4,07:59:19,84,4019
Sensor 1,4,08:04:21,85,4025
Sensor 1,4,08:09:23,84,4020
Sensor 1,4,08:14:25,84,4020
Sensor 1,4,08:19:27,83,4015
Sensor 1,4,08:24:29,82,4006
Sensor 1,4,08:29:31,83,4012
Sensor 1,4,08:34:33,83,4013
Sensor 1,4,08:39:35,82,4005
Sensor 1,4,08:44:37,82,4002
Sensor 1,4,08:49:39,82,4006
Sensor 1,4,08:54:41,83,4013
Sensor 1,4,08:59:43,82,4008
Sensor 1,4,09:04:45,83,4011
Sensor 1,4,09:09:47,82,4005
Sensor 1,4,09:14:49,82,4008
Sensor 1,4,09:19:51,81,3997
Sensor 1,4,09:24:53,81,3999
Sensor 1,4,09:29:55,80,3994
Sensor 1,4,09:34:57,81,3999
Sensor 1,4,09:39:59,81,3997
Sensor 1,4,09:45:01,81,3999
Sensor 1,4,09:50:03,80,3994
Sensor 1,4,09:55:05,80,3990
Sensor 1,4,10:00:07,80,3990
Sensor 1,4,10:05:09,80,3994
Sensor 1,4,10:10:11,79,3988
Sensor 1,4,10:15:13,80,3990
Sensor 1,4,10:20:15,78,3978
Sensor 1,4,10:25:17,79,3987
Sensor 1,4,10:30:19,79,3987
Sensor 1,4,10:35:21,79,3988
Sensor 1,4,10:40:23,80,3991
Sensor 1,4,10:45:25,78,3981
Sensor 1,4,10:50:27,78,3978
Sensor 1,4,10:55:29,78,3978
